Course,ID,Department
Partial Differential Equations I,APMA,Applied Mathematics
Partial Differential Equations,APMA,Applied Mathematics
Introduction to Stochastic Control Theory,APMA,Applied Mathematics
Fluid Dynamics I,APMA,Applied Mathematics
Fluid Mechanics II,APMA,Applied Mathematics
Topics in Fluid Dynamics,APMA,Applied Mathematics
Topics in Fluid Dynamics,APMA,Applied Mathematics
Numerical Solution of Partial Differential Equations I,APMA,Applied Mathematics
Numerical Solution of Partial Differential Equations II,APMA,Applied Mathematics
Numerical Solution of Partial Differential Equations III,APMA,Applied Mathematics
Numerical Solution of Partial Differential Equations III,APMA,Applied Mathematics
Computational Fluid Dynamics,APMA,Applied Mathematics
Optimization,APMA,Applied Mathematics
Recent Applications of Probability and Statistics,APMA,Applied Mathematics
Theory of Probability I,APMA,Applied Mathematics
Theory of Probability II,APMA,Applied Mathematics
Stochastic Processes,APMA,Applied Mathematics
Mathematical Statistics I,APMA,Applied Mathematics
Mathematical Statistics II,APMA,Applied Mathematics
Information Theory,APMA,Applied Mathematics
Computational Biology,APMA,Applied Mathematics
Computational Molecular Biology,APMA,Applied Mathematics
Elements of High Performance Scientific Computing,APMA,Applied Mathematics
Elements of High Performance Scientific Computing II,APMA,Applied Mathematics
Introduction to Non-linear Optics,APMA,Applied Mathematics
Large Deviations,APMA,Applied Mathematics
Math of Finance,APMA,Applied Mathematics
Mathematical Techniques for Neural Modeling,APMA,Applied Mathematics
Methods of Algebraic Geometry in Control Theory I,APMA,Applied Mathematics
Numerical Solution of Hyperbolic PDE's,APMA,Applied Mathematics
Some Topics in Kinetic Theory,APMA,Applied Mathematics
Topics in Nonlinear PDEs,APMA,Applied Mathematics
Stochastic Differential Equations,APMA,Applied Mathematics
Perturbation Methods,APMA,Applied Mathematics
Discontinous Galerkin Methods,APMA,Applied Mathematics
Topics in Control,APMA,Applied Mathematics
Nonlinear Partial Differential Equations,APMA,Applied Mathematics
Topics in Differnetial Equations,APMA,Applied Mathematics
Topics in Partial Differential Equations,APMA,Applied Mathematics
Introduction to the Theory of Large Deviations,APMA,Applied Mathematics
Discrete high-D Inferences in Genomics,APMA,Applied Mathematics
An Introduction to the Theory of Large Deviations,APMA,Applied Mathematics
Directed Methods in Control and System Theory,APMA,Applied Mathematics
Stochastic Partial Differential Equations,APMA,Applied Mathematics
A Posteriori Estimates for Finite Element Methods,APMA,Applied Mathematics
An Introduction to Turbulence Modeling,APMA,Applied Mathematics
Topics in Homogenization: Theory and Computation,APMA,Applied Mathematics
Dynamics and Stochastics,APMA,Applied Mathematics
Calculus of Variations,APMA,Applied Mathematics
Levy Processes,APMA,Applied Mathematics
Finite Element Exterior Calculus,APMA,Applied Mathematics
An Introduction to Stochastic Control,APMA,Applied Mathematics
An Introduction to SPDE's,APMA,Applied Mathematics
Semidefinite and Combinatorial Optimization,APMA,Applied Mathematics
A Tutorial on Particle Methods,APMA,Applied Mathematics
Advanced Topics in Information Theory,APMA,Applied Mathematics
Computational Electromagnetics,APMA,Applied Mathematics
Geophysical Fluid Dynamics,APMA,Applied Mathematics
Information Theory and Networks,APMA,Applied Mathematics
"Information Theory, Statistics and Probability",APMA,Applied Mathematics
Kinetic Theory,APMA,Applied Mathematics
Multiscale Methods and Computer Vision,APMA,Applied Mathematics
Numerical Linear Algebra,APMA,Applied Mathematics
Numerical Solution of Ordinary Differential Equations,APMA,Applied Mathematics
Random Processes in Mechanics,APMA,Applied Mathematics
Topics in Scientific Computing,APMA,Applied Mathematics
Topics in Kinetic Theory,APMA,Applied Mathematics
Structure Theory of Control Systems,APMA,Applied Mathematics
Topics in Differential Equations,APMA,Applied Mathematics
Structure Theory of Control Systems,APMA,Applied Mathematics
Progress in the Theory of Shock Waves,APMA,Applied Mathematics
An Introduction to the Theory of Large Deviations,APMA,Applied Mathematics
Topics in Discontinuous Galerkin Methods,APMA,Applied Mathematics
Parallel Scientific Computing: Algorithms and Tools,APMA,Applied Mathematics
Topics in Partial Differential Equations,APMA,Applied Mathematics
Random Processes and Random Variables,APMA,Applied Mathematics
Topics in Variational Methods,APMA,Applied Mathematics
Computational Linear Algebra,APMA,Applied Mathematics
Some Topics in Kinetic Theory,APMA,Applied Mathematics
Introduction to Malliavin Calculus,APMA,Applied Mathematics
Some Mathematical Problems in Materials Science,APMA,Applied Mathematics
Theory of Large Deviations,APMA,Applied Mathematics
Kinetic Theory,APMA,Applied Mathematics
Neural Dynamics: Theory and Modeling,APMA,Applied Mathematics
Topics in Approximation Theory,APMA,Applied Mathematics
Topics in PDEs,APMA,Applied Mathematics
Mathematics and Climate,APMA,Applied Mathematics
Research in Applied Mathematics,APMA,Applied Mathematics
Arts Writing: New Forms of Cultural Critique,ARTS,Arts Institute
Arts Writing Workshop,ARTS,Arts Institute
Arts Leadership,ARTS,Arts Institute
Race and the Making of Art,ARTS,Arts Institute
Playing The Villain On Camera,ARTS,Arts Institute
Performance Practice Workshop,ARTS,Arts Institute
Black Music Performance,ARTS,Arts Institute
Acting for the Camera,ARTS,Arts Institute
"Race, Performance, Media",ARTS,Arts Institute
The Essentials of Arts Journalism,ARTS,Arts Institute
Reality Remix - Experimental VR,ARTS,Arts Institute
ArtsCrew & The Future of Arts Work,ARTS,Arts Institute
Artist@Work: William Brittelle,ARTS,Arts Institute
Artist@Work: Carrie Mae Weems,ARTS,Arts Institute
Artist@Work: Arts Education,ARTS,Arts Institute
"Artist@Work: Arts Education, Spoken Word",ARTS,Arts Institute
Brown Arts Institute Independent Study,ARTS,Arts Institute
Frequencies of Black Life,ARTS,Arts Institute
Theorizing Blackness,ARTS,Arts Institute
First Year Seminar- Energy,CHEM,Chemistry
Molecular Structures in Chemistry and Biology,CHEM,Chemistry
Drug Discoveries in the Pharmaceutical Industry,CHEM,Chemistry
Kitchen Chemistry,CHEM,Chemistry
Kitchen Chemistry,CHEM,Chemistry
Introductory Chemistry,CHEM,Chemistry
"Equilibrium, Rate, and Structure",CHEM,Chemistry
"Equilibrium, Rate, and Structure Lab",CHEM,Chemistry
"Equilibrium, Rate and Structure - Tutorial",CHEM,Chemistry
Organic Chemistry I,CHEM,Chemistry
Organic Chemistry I Lab,CHEM,Chemistry
Organic Chemistry II,CHEM,Chemistry
Organic Chemistry II Lab,CHEM,Chemistry
Biophysical and Bioinorganic Chemistry,CHEM,Chemistry
Inorganic Chemistry,CHEM,Chemistry
Preparative Chemistry Lab,CHEM,Chemistry
Chemistry and Art,CHEM,Chemistry
Advanced Inorganic Chemistry,CHEM,Chemistry
Physical Chemistry: Quantum Chemistry,CHEM,Chemistry
Physical Chemistry Laboratory,CHEM,Chemistry
Environmental Chemistry,CHEM,Chemistry
Chemical Biology,CHEM,Chemistry
Biochemistry,CHEM,Chemistry
Advanced Organic Chemistry,CHEM,Chemistry
Molecular Modeling,CHEM,Chemistry
Advanced Spectroscopy,CHEM,Chemistry
Biological Mass Spectrometry,CHEM,Chemistry
Organic Structure Analysis,CHEM,Chemistry
Nuclear Magnetic Resonance,CHEM,Chemistry
Chemical Glycobiology,CHEM,Chemistry
DNA Damage and Repair,CHEM,Chemistry
Topics in Bioinorganic Chemistry,CHEM,Chemistry
Applied Materials Chemistry,CHEM,Chemistry
Organometallic Chemistry,CHEM,Chemistry
Applications of Modern Physical Methods in Synthesis,CHEM,Chemistry
Accelerating Chemical Discovery,CHEM,Chemistry
Reimagining the Role of Chemists,CHEM,Chemistry
The Chemistry of Polymeric Organic Materials,CHEM,Chemistry
Spectroscopy,CHEM,Chemistry
Topics in Modern Physical Chemistry,CHEM,Chemistry
Instrumental Analysis with Environmental Applications,CHEM,Chemistry
Nanoscale Materials: Synthesis and Applications,CHEM,Chemistry
Advanced Thermodynamics,CHEM,Chemistry
Statistical Mechanics,CHEM,Chemistry
Chemical Crystallography,CHEM,Chemistry
Organometallic Chemistry,CHEM,Chemistry
Solid State Chemistry,CHEM,Chemistry
Organic Mechanisms,CHEM,Chemistry
Organic Reactions,CHEM,Chemistry
Synthetic Organic Chemistry,CHEM,Chemistry
Quantum Mechanics,CHEM,Chemistry
Quantum Mechanics,CHEM,Chemistry
Topics in Modern Spectroscopy,CHEM,Chemistry
The Greeks,CLAS,Classics
The Romans,CLAS,Classics
Gender and Sexuality in Ancient Greek Literature,CLAS,Classics
Ancient Philosophy,CLAS,Classics
Indian Civilization through Its Literature,CLAS,Classics
Alexander the Great and Alexandria,CLAS,Classics
Death in Ancient Greece,CLAS,Classics
The Family in the Classical World,CLAS,Classics
The Meaning of History in the Ancient World,CLAS,Classics
Themes in Ancient Science,CLAS,Classics
Thucydides: History and Cultural Context,CLAS,Classics
How Women were Seen,CLAS,Classics
Homer - The 'Big Bang' of Western Literature?,CLAS,Classics
Who Owns the Classical Past?,CLAS,Classics
Seneca: A Philosopher in Politics,CLAS,Classics
Sport in the Ancient Greek World,CLAS,Classics
The Age of Augustus,CLAS,Classics
The Philosophy of Classical Indian Yoga,CLAS,Classics
Horror in the Ancient and Modern World,CLAS,Classics
Latin in English/Latinate English,CLAS,Classics
Animals in the Greco-Roman World,CLAS,Classics
Social Welfare in the Ancient Greek City,CLAS,Classics
Juno: The Original Diva,CLAS,Classics
21st century Classics,CLAS,Classics
Race and Ethnicity in the Ancient Mediterranean,CLAS,Classics
Ancient Comedy and its Influence,CLAS,Classics
Horror in the Ancient and Modern Worlds,CLAS,Classics
Philo of Alexandria and His World,CLAS,Classics
"Virgil, Augustus, and Rome",CLAS,Classics
Religion and Magic in Ancient Greece,CLAS,Classics
"Ancient Science, Medicine and Magic",CLAS,Classics
War and Society in the Ancient World,CLAS,Classics
The Literary Worlds of Late Antiquity,CLAS,Classics
Greek Tragedy,CLAS,Classics
War and Society in Ancient Greece,CLAS,Classics
The World of Byzantium,CLAS,Classics
Gender and Sexuality in Classical Antiquity,CLAS,Classics
Ancient Utopias/Imaginary Places,CLAS,Classics
The Tradition of the Philosophical Dialogue,CLAS,Classics
Dreaming in the Ancient World,CLAS,Classics
Express Yourself! An Ancient Guide,CLAS,Classics
Religious and Philosophical Thought in Ancient India,CLAS,Classics
Alexander the Great and the Alexander Tradition,CLAS,Classics
Epics of India,CLAS,Classics
Mythology of India,CLAS,Classics
The Bhagavad Gītā,CLAS,Classics
Greek Mythology,CLAS,Classics
Roman Mythology,CLAS,Classics
Karma and Free Will: The Self in Indian Philosophy,CLAS,Classics
India's Classical Performing Arts,CLAS,Classics
Narratives of Disability in Greek and Latin Literature,CLAS,Classics
"Dreams, Love and Confession",CLAS,Classics
Epic Poetry from Homer to Lucan,CLAS,Classics
Myth and Origins of Science,CLAS,Classics
Slavery in the Ancient World,CLAS,Classics
The Idea of Self,CLAS,Classics
Essaying the Essay,CLAS,Classics
Skeptical Traditions East and West,CLAS,Classics
Archaeology of Feasting,CLAS,Classics
Plato,CLAS,Classics
Games and Spectacles of Ancient Greece and Rome,CLAS,Classics
Seven Wonders of the Ancient World,CLAS,Classics
The American Presidents and the Western Tradition,CLAS,Classics
Aristotle,CLAS,Classics
Ovid's Metamorphoses,CLAS,Classics
Cicero in New Spain,CLAS,Classics
The Fragility of Life in Ancient Greece,CLAS,Classics
Classical Philosophy of India,CLAS,Classics
Reception of Latin in Americas,CLAS,Classics
"Mediterranean Culture Wars: Archaic Greek History, c. 1200 to 479 BC",CLAS,Classics
The Roman Reception of Greek Literature,CLAS,Classics
Roman History II: The Roman Empire and Its Impact,CLAS,Classics
Roman Religion,CLAS,Classics
Comparative Grammar of Greek and Latin I,CLAS,Classics
Death in the West,CLAS,Classics
Caesar's Failure and Augustus' Success,CLAS,Classics
Justice,CLAS,Classics
Undergraduate Seminar: Emotions,CLAS,Classics
Philosophy of Socrates,CLAS,Classics
Writing History in the Ancient World,CLAS,Classics
Highways and Byways in Antiquity,CLAS,Classics
Ancient Revenge Dramas,CLAS,Classics
Madwomen and Lovers,CLAS,Classics
Erotic Desire in the Premodern Mediterranean,CLAS,Classics
Marriage in the Ancient World,CLAS,Classics
Holy Places and Sacred Spaces in Ancient Greece,CLAS,Classics
Love and Identity in the Roman Empire,CLAS,Classics
"Ancient Law, Society and Jurisprudence",CLAS,Classics
Introduction to Greek and Latin Meters,CLAS,Classics
Dying God,CLAS,Classics
Parasites and Hypocrites,CLAS,Classics
Economy of Ancient Greece: New Approaches,CLAS,Classics
Women Writing Epic,CLAS,Classics
Proseminar in Classics,CLAS,Classics
Mysteries Documents,CLAS,Classics
Roman Topography,CLAS,Classics
Seminar: Allusion/Intertextuality/Influence,CLAS,Classics
Seminar: Social Conflicts in the Roman Republic,CLAS,Classics
The Emperor Tiberius,CLAS,Classics
Topics in Roman Republican History,CLAS,Classics
The World of Late Antiquity,CLAS,Classics
Graduate Seminar: The Book,CLAS,Classics
Alexandrian Poetry,CLAS,Classics
Essentials of the Greek Language,GREK,Ancient Greek
Intensive Introduction to Ancient Greek,GREK,Ancient Greek
Essentials of the Greek Language,GREK,Ancient Greek
Introduction to Greek Literature,GREK,Ancient Greek
Grammar Review and Composition,GREK,Ancient Greek
Introduction to Greek Literature,GREK,Ancient Greek
Introduction to Greek Drama,GREK,Ancient Greek
Aristophanes,GREK,Ancient Greek
Euripides,GREK,Ancient Greek
Sophocles,GREK,Ancient Greek
Homer: Iliad,GREK,Ancient Greek
Herodotus,GREK,Ancient Greek
Advanced Homer: The Odyssey,GREK,Ancient Greek
On the Sublime,GREK,Ancient Greek
"Plato, Phaedrus",GREK,Ancient Greek
Plato: Statesman,GREK,Ancient Greek
Plato: Symposium,GREK,Ancient Greek
Plutarch,GREK,Ancient Greek
Poetry of Gods and Heroes,GREK,Ancient Greek
Selections from Greek Authors: Mysteries,GREK,Ancient Greek
The Odyssey,GREK,Ancient Greek
Selections from Greek Authors: Thucydides,GREK,Ancient Greek
Plato: Theaetetus,GREK,Ancient Greek
Early Byzantine Literature,GREK,Ancient Greek
Aeschylus' Agamemnon,GREK,Ancient Greek
"Selections from Greek Authors: Plato, Sophist",GREK,Ancient Greek
Menander,GREK,Ancient Greek
Aristotle: Nichomachean Ethics,GREK,Ancient Greek
Sophocles,GREK,Ancient Greek
Characters and Characterization in Greek Literature,GREK,Ancient Greek
Xenophon,GREK,Ancient Greek
Survey of Post-Classical Greek (2nd-12th century CE),GREK,Ancient Greek
Greek Funeral Orations,GREK,Ancient Greek
"Persians, Others, in Greek Literature",GREK,Ancient Greek
Aristotle's Politics,GREK,Ancient Greek
Greek Texts in the Postclassical Tradition,GREK,Ancient Greek
Polybius,GREK,Ancient Greek
Late Antique Historiography: Procopius of Caesarea,GREK,Ancient Greek
Daphnis and Chloe,GREK,Ancient Greek
The Greek Chorus,GREK,Ancient Greek
Hippocratic Medicine,GREK,Ancient Greek
Aristotle's Theology in Metaphysics Lambda,GREK,Ancient Greek
Introduction to Greek Linguistics,GREK,Ancient Greek
Greek Prose Composition,GREK,Ancient Greek
Plato and Aristotle,GREK,Ancient Greek
Plato's Protagoras,GREK,Ancient Greek
Greek Literature Survey to 450 BCE,GREK,Ancient Greek
Greek Literature Survey after 450 BCE,GREK,Ancient Greek
Imperial Greek Prose,GREK,Ancient Greek
Euripides,GREK,Ancient Greek
Greek Epigraphy,GREK,Ancient Greek
Introduction to Greek Papyrology,GREK,Ancient Greek
Rapid Reading in Plutarch,GREK,Ancient Greek
Aristophanes,GREK,Ancient Greek
Greek Epigraphy,GREK,Ancient Greek
Seminar: Plutarch,GREK,Ancient Greek
Sophocles,GREK,Ancient Greek
Herodotus,GREK,Ancient Greek
Pindar,GREK,Ancient Greek
Thucydides,GREK,Ancient Greek
Demosthenes,GREK,Ancient Greek
Documents: Religious Cults and Sacred Laws,GREK,Ancient Greek
Lucian,GREK,Ancient Greek
Seminar: Hellenistic Poetry,GREK,Ancient Greek
Herodotus,GREK,Ancient Greek
Drama and the Polis,GREK,Ancient Greek
Ancient Literary Criticism,GREK,Ancient Greek
Homer,GREK,Ancient Greek
Literary Criticism in Greek Scholia,GREK,Ancient Greek
Plato's Republic and its Neoplatonic Reception,GREK,Ancient Greek
Greek Epigraphy,GREK,Ancient Greek
"Aeschines and Demosthenes, 'Crowning Speeches'",GREK,Ancient Greek
Greek Palaeography and Premodern Book Cultures,GREK,Ancient Greek
Aristotle's Theology in Metaphysics Lambda,GREK,Ancient Greek
Plato's Theaetetus,GREK,Ancient Greek
Essentials of the Latin Language,LATN,Latin
Intensive Introduction to Latin,LATN,Latin
Essentials of the Latin Language,LATN,Latin
Introduction to Latin Literature,LATN,Latin
Grammar Review and Composition,LATN,Latin
Introduction to Latin Literature,LATN,Latin
Latin Mystical Writing,LATN,Latin
Medieval Latin Lyric,LATN,Latin
Latin Lyric: Catullus and Horace,LATN,Latin
Horace's Odes,LATN,Latin
De Oratore,LATN,Latin
"Cicero, Verrines",LATN,Latin
Cicero's Republic,LATN,Latin
Virgil: Eclogues and Georgics,LATN,Latin
Virgil: Aeneid,LATN,Latin
"Horace Satires, Epistles and 'Ars Poetica'",LATN,Latin
Sallust,LATN,Latin
Sallust and Livy,LATN,Latin
"Sallust, Livy, and Tacitus",LATN,Latin
Livy,LATN,Latin
Ovid,LATN,Latin
Tacitus,LATN,Latin
Conquest: Caesar and Tacitus,LATN,Latin
Senecan Tragedy,LATN,Latin
Ovid Heroides,LATN,Latin
Seneca,LATN,Latin
Apuleius,LATN,Latin
"Augustine, Confessions",LATN,Latin
Caesar: Bellum Gallicum,LATN,Latin
Civil War Literature,LATN,Latin
Comedy,LATN,Latin
Fortunatus,LATN,Latin
Latin Love Elegy,LATN,Latin
Literature at the Court of Charlemagne,LATN,Latin
Lucretius,LATN,Latin
Petronius,LATN,Latin
Selections from Latin Authors: Ausonius,LATN,Latin
Medieval Latin Lyric,LATN,Latin
Plautus,LATN,Latin
Latin Comedy: Terence,LATN,Latin
Roman Satire,LATN,Latin
Lucan's Civil War,LATN,Latin
Catilines: Cicero and Sallust,LATN,Latin
Catullus,LATN,Latin
The Poetry of Praise,LATN,Latin
"Selections from Latin Authors: Ovid, Ars Amatoria",LATN,Latin
Latin Epistolography,LATN,Latin
Dying in the Republic,LATN,Latin
Literary Culture in the Latin Middle Ages,LATN,Latin
Poetry at the End of the Roman World,LATN,Latin
Survey of Late and Medieval Latin,LATN,Latin
Alcuin,LATN,Latin
Writing Lives in Late Antiquity: Jerome and Augustine,LATN,Latin
Reading Humanist Latin Texts,LATN,Latin
Latin Prose Composition,LATN,Latin
Law and Literature,LATN,Latin
Survey of Republican Literature,LATN,Latin
Survey of Roman Literature II: Empire,LATN,Latin
Cicero: De Oratore,LATN,Latin
Ammianus Marcellinus,LATN,Latin
Senecan Tragedy,LATN,Latin
Catullus in Horace,LATN,Latin
Horace's Epistles,LATN,Latin
"Ovid, Metamorphosis",LATN,Latin
Seminar: Roman Comedy,LATN,Latin
Virgil: Aeneid,LATN,Latin
Ovid: Tristia,LATN,Latin
Roman Agricultural Writers,LATN,Latin
Varro,LATN,Latin
Appendix Virgiliana,LATN,Latin
Terence and Reception in Donatus,LATN,Latin
Seminar: Ammianus Marcellinus,LATN,Latin
The Age of Augustus,LATN,Latin
Augustine: Confessions,LATN,Latin
"Graduate Seminar: Caesar, Bellum Civile",LATN,Latin
Seminar: Roman Literature,LATN,Latin
Late Latin Literary Culture,LATN,Latin
Lucan,LATN,Latin
Late Latin Poetry,LATN,Latin
Late Latin Poetry,LATN,Latin
Latin in America,LATN,Latin
Latin Atlantic Epic,LATN,Latin
Elegy,LATN,Latin
Lucretius,LATN,Latin
Ovid: Exile Poetry,LATN,Latin
Propertius,LATN,Latin
Tibullus,LATN,Latin
Epigrams,LATN,Latin
Augustan Literature and Egypt,LATN,Latin
Seminar: Roman Satire,LATN,Latin
Roman Epigraphy,LATN,Latin
Tacitus,LATN,Latin
Graduate Seminar: Apuleius,LATN,Latin
Introduction to Modern Greek,MGRK,Modern Greek
Intensive Beginning Modern Greek,MGRK,Modern Greek
Introduction to Modern Greek,MGRK,Modern Greek
Intermediate Modern Greek,MGRK,Modern Greek
Intermediate Modern Greek,MGRK,Modern Greek
Advanced Modern Greek,MGRK,Modern Greek
Advanced Modern Greek,MGRK,Modern Greek
Film Classics: The Greeks on the Silver Screen,MGRK,Modern Greek
The Classical World in Film,MGRK,Modern Greek
Modern Greece in the World,MGRK,Modern Greek
In Other Words: Translating Greece,MGRK,Modern Greek
Special Topics in Modern Greek,MGRK,Modern Greek
Modern Greek for Classicists and Archaeologists,MGRK,Modern Greek
Elementary Sanskrit I,SANS,Sanskrit
Elementary Sanskrit II,SANS,Sanskrit
Sanskrit Epic Narrative,SANS,Sanskrit
Classical Sanskrit Story Literature,SANS,Sanskrit
Early Sanskrit Philosophy and Religion,SANS,Sanskrit
The Bhāgavata Purāṇa: Text and Reception,SANS,Sanskrit
The Critical Episodes of the Mahabharata,SANS,Sanskrit
Vedic Sanskrit,SANS,Sanskrit
The Sanskrit Grammatical Tradition,SANS,Sanskrit
Sanskrit Song and Musicology,SANS,Sanskrit
Sanskrit Poetry and Drama,SANS,Sanskrit
Classical Schools of Indian Philosophy,SANS,Sanskrit
Advanced Sanskrit,SANS,Sanskrit
"Theme, Language, and Meter in the Mahābhārata",SANS,Sanskrit
The Art of International Relations,HMAN,Humanities
Fake: A History of the Inauthentic,HMAN,Humanities
"Religion, Secularization, and the International",HMAN,Humanities
The Question of the Animal,HMAN,Humanities
Modern Arab Thought: The Arab Renaissance,HMAN,Humanities
"Places of Healing: Memory, Miracle, and Storytelling",HMAN,Humanities
The Precarious University,HMAN,Humanities
Specters of Comparison,HMAN,Humanities
Law and Religion,HMAN,Humanities
Living in End Times,HMAN,Humanities
The Israeli-Palestinian Conflict in the Global Scene,HMAN,Humanities
Autonomy and Globalization,HMAN,Humanities
"Pragmatism, Religion, and Politics",HMAN,Humanities
Working (on) Concepts in the Humanities,HMAN,Humanities
Literature and the Arts in Today's Cuba,HMAN,Humanities
Ethics and the Humanities,HMAN,Humanities
"Music, New Media, and Virtual Performance",HMAN,Humanities
Pragmatic Medical Humanities,HMAN,Humanities
Politics and Authority in Islamic Law and Society,HMAN,Humanities
Cross-Cultural Approaches to Death and Dying,HMAN,Humanities
"Law, Nationalism, and Colonialism",HMAN,Humanities
Kabbalah: An Introduction to Jewish Mysticism,HMAN,Humanities
Picturing Paradise: Art and Science in the Americas,HMAN,Humanities
Eternal Returns: Poetry and Politics in Modernity,HMAN,Humanities
Indigenous Peoples and American Law,HMAN,Humanities
Islam in America: A Global History,HMAN,Humanities
Political Theology for the Anthropocene,HMAN,Humanities
Governing Culture: Music and the Arts in Political Life,HMAN,Humanities
"Solidarities: Sharing Freedom, Inventing Futures",HMAN,Humanities
Theo-Politics: Political Readings of the Hebrew Bible,HMAN,Humanities
"Humans, Animals, and Machines",HMAN,Humanities
Religion from Below,HMAN,Humanities
Respiring and Conspiring,HMAN,Humanities
Reimg Line-Mex/US Bd-HISP1371T,HMAN,Humanities
Islam in America - A Global History,HMAN,Humanities
Introduction to Digital Humanities,HMAN,Humanities
Digital Humanities Capstone Seminar,HMAN,Humanities
Environmental Humanities,HMAN,Humanities
Imagining Cities: Early Modern Urban Perspectives,HMAN,Humanities
Instruments and Instrumentalities,HMAN,Humanities
Archive Theory: Imagining Absence Otherwise,HMAN,Humanities
Faces: From Masks to Deepfake,HMAN,Humanities
Articulations of Voice,HMAN,Humanities
Empire: Global Perspectives,HMAN,Humanities
"Metals, Mining, and Jewelry: Making the World Anew",HMAN,Humanities
Project Development Workshop,HMAN,Humanities
Concepts of Space and Time in Media Discourses,HMAN,Humanities
Biological Issues in Cultural Theory,HMAN,Humanities
"Pain, Medicine and Society",HMAN,Humanities
Space and Capital,HMAN,Humanities
History and Theory of Catastrophes,HMAN,Humanities
"Race, Space, and Struggle",HMAN,Humanities
Political Foucault,HMAN,Humanities
Political Concepts: The Balibar Edition,HMAN,Humanities
"Logos, tekhnē, philosophia",HMAN,Humanities
Kinds of Others,HMAN,Humanities
"Solidarities: Sharing Freedom, Inventing Futures",HMAN,Humanities
Best-sellers,COLT,Comparative Literature
Caribbean Re-writes,COLT,Comparative Literature
The World of Lyric Poetry,COLT,Comparative Literature
Poetry and Music,COLT,Comparative Literature
"Fidel Castro and Che Guevara, The Men and the Myths",COLT,Comparative Literature
Virgil and Milton,COLT,Comparative Literature
The 1001 Nights,COLT,Comparative Literature
What is Tragedy?,COLT,Comparative Literature
Early Modern Selves: From Soliloquy to Self-Portrait,COLT,Comparative Literature
Twentieth-Century Experiments,COLT,Comparative Literature
Reading the Renaissance,COLT,Comparative Literature
"War and the Arts: Guantanamo, Twenty Years On",COLT,Comparative Literature
Banned Books,COLT,Comparative Literature
Rites of Passage,COLT,Comparative Literature
"Crisis and Identity in Mexico, 1519-1968",COLT,Comparative Literature
Literature and the American Presidency,COLT,Comparative Literature
Renaissance Epic,COLT,Comparative Literature
Introduction to Cultural Studies,COLT,Comparative Literature
"Murder Ink: Narratives of Crime, Discovery, and Identity",COLT,Comparative Literature
Stories and Storytelling,COLT,Comparative Literature
Before Wikipedia,COLT,Comparative Literature
Literature and Knowledge,COLT,Comparative Literature
Chinese Empire and Literature,COLT,Comparative Literature
Women's Writing in the Arab World,COLT,Comparative Literature
Intersections of Race and Culture in the West,COLT,Comparative Literature
Global Detective Fiction,COLT,Comparative Literature
Literature and Judgment,COLT,Comparative Literature
Third World Literature and Thought 1950-1970,COLT,Comparative Literature
Banned Books,COLT,Comparative Literature
Very Short Poetry: From Tanka to Twitter,COLT,Comparative Literature
Introduction to Scandinavian Literature,COLT,Comparative Literature
Inventing the Renaissance,COLT,Comparative Literature
Latin America: The French Connection,COLT,Comparative Literature
"Mexican lettres, 1519-1968",COLT,Comparative Literature
Storytelling: Verbal Art as Performance,COLT,Comparative Literature
Women and Writing in Medieval France and Japan,COLT,Comparative Literature
The Odyssey in Literature and Film,COLT,Comparative Literature
Words and Images: A Survey of Japanese Literature,COLT,Comparative Literature
Leaves of Words: A Survey of Japanese Literature,COLT,Comparative Literature
Cultures of Colonialism: Palestine/Israel,COLT,Comparative Literature
Fan Fiction,COLT,Comparative Literature
Comedy from Athens to Hollywood,COLT,Comparative Literature
Reading and Writing African Gender,COLT,Comparative Literature
Arabic Literature: The Qur'an to Darwish,COLT,Comparative Literature
"The Realist Novel (Europe, America, Latin America)",COLT,Comparative Literature
The Arabic Novel,COLT,Comparative Literature
The Art of Revolution in Latin America,COLT,Comparative Literature
The Quran and its Readers,COLT,Comparative Literature
Writing Love in Korean Literature,COLT,Comparative Literature
Ancient Greek Myth in Modern Poetry,COLT,Comparative Literature
Arthurian Tales and Romances of the Middle Ages,COLT,Comparative Literature
City (B)Lights,COLT,Comparative Literature
"Confession, Autobiography, Testimony",COLT,Comparative Literature
Desire and the Marketplace,COLT,Comparative Literature
Equity Law Literature Philosophy,COLT,Comparative Literature
How Not to Be a Hero,COLT,Comparative Literature
Tales and Talemakers of the Non-Western World,COLT,Comparative Literature
The Colonial and Postcolonial Marvelous,COLT,Comparative Literature
The Pursuit of Happiness,COLT,Comparative Literature
Civilization and Its Discontents,COLT,Comparative Literature
Moderns and Primitives,COLT,Comparative Literature
European Renaissances,COLT,Comparative Literature
Myth and Literature,COLT,Comparative Literature
Classical Mythology and the Western Tradition,COLT,Comparative Literature
Poetics of Madness: Aspects of Literary Insanity,COLT,Comparative Literature
Mediterranean Cities,COLT,Comparative Literature
Hamlet Post-Hamlet,COLT,Comparative Literature
"What is Colonialism? Archives, Texts and Images",COLT,Comparative Literature
Reading Art in Literature,COLT,Comparative Literature
Banned Books of Middle East,COLT,Comparative Literature
Non-human Rights and Wrongs,COLT,Comparative Literature
The Epic Tradition: from Homer to Milton,COLT,Comparative Literature
"Culture, Climate, and the Anthropocene's Others",COLT,Comparative Literature
Love and Longing across the Indian Subcontinent,COLT,Comparative Literature
